Name,Industry,Industry 2,Industry 3,Country,Description,Domain,company_email,phone,Founder,Funding type,Last Equity Funding Amount,Funding Type,Total Equity Funding Amount,Investory,Investor 2,Investor 3,Investor 4 ,Investor,Monthly Visits,Average Visits (6 months),Monthly Visits Growth,Visit Duration,Visit Duration Growth,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank
OpenFunnel,Artificial Intelligence (AI),B2B,Generative AI,United States,OpenFunnel provides AI agents that help Go-To-Market teams find potential customers by detecting real-time intent signals from the internet.,openfunnel.dev/,—,—,Fenil Suchak,Seed,"$13,00,000.00",Pre-Seed,"$13,00,000.00",Y Combinator,Transpose Platform Management,Decacorn Capital,NYX Ventures,,"1,557","6,984",-23.68%,366,-45.05%,-74.96%,79.83%,46.58%,"53,56,517"
OSAZ Skin,Artificial Intelligence (AI),Beauty,Data Collection and Labeling,United States,"Personalized skin diagnostics, custom formulations, and tinted sunscreens revolutionizing beauty, health, and skin innovation.",www.byosaz.com,support@osazomon.com,917-310-5215,,Seed,"$1,20,000.00",Pre-Seed,"$1,20,000.00",Techstars,,,,,30,—,-21.05%,0,—,-50%,100%,—,"2,63,84,345"
Venta,B2B,Lead Generation,SaaS,Germany,Venta is an AI-worker for highly targeted outreach in Germany,www.getventa.ai,info@getventa.ai,004989 21525175,Stefan Reuther,Seed,"$20,00,000.00",Pre-Seed,"$25,00,000.00",Gaingels,Y Combinator,Orange Collective,Gradient,Gleb Tritus,"1,108","2,321.67",-63.66%,41,-93.35%,-48.29%,75.45%,37.33%,"62,18,125"
MediaWallah,Advertising,Analytics,Big Data,United States,MediaWallah offers a highly scalable cloud based user mapping Data as a Service (DaaS) platform for large brands.,mediawallah.com,info@mediawallah.com,(212) 984-1862,,Early Stage Venture,"$23,00,000.00",Series A,"$33,00,000.00",Michael Donovan,Bill Wise,,,,261,279.33,-56.28%,84,-12.5%,-34.85%,24.52%,-3.69%,"1,24,48,460"
Tenor,Artificial Intelligence (AI),Information Technology,Software,United States,Tenor develops an AI-powered platform focused on leadership development and workplace communication.,tenorhq.com/,—,—,James Cross,Seed,"$54,00,000.00",Seed,"$54,00,000.00",Base10 Partners,Reach Capital,Context VC,,,"4,553","2,946.17",42.15%,326,10.51%,-37.49%,88.97%,47.35%,"30,80,842"
maesn,SaaS,Software,,Germany,"IPaaS, Integration-as-a-Service, SaaS",maesn.com/,contact@maesn.com,0221 67029946,,Seed,"€23,00,000.00",Seed,"€23,00,000.00",NRW.BANK,Tiny Supercomputer Investment Company,get.de Partners,Florian Falk,Daniel von Wedel,"8,113","2,535.33",445.6%,"1,091",334.66%,-50.03%,95.07%,30.66%,"20,82,203"
Incremental,Advertising Platforms,Artificial Intelligence (AI),E-Commerce,United States,Incremental helps brands plan and predict the real impact of commerce and retail media decisoins.,www.incremental.com,hello@incremental.com,+1 410-230-7059,Haley Ulloa,Early Stage Venture,"$1,55,00,005.00",Series A,"$1,88,00,005.00",Construct Capital,SignalFire,Allen & Company,Verissimo Ventures,Grit Capital Partners,"2,270","1,988.17",50.53%,18,-78.31%,2.23%,78.9%,-11.34%,"45,42,998"
Question Base,Artificial Intelligence (AI),B2B,Enterprise Software,United States,AI-powered knowledge base on top of Slack,www.questionbase.com/,help@questionbase.com,—,Stefan Vladimirov,Seed,"$6,00,000.00",Pre-Seed,"$6,00,000.00",Techstars,Zelda Ventures,Clara Liang,David Apple,Susan Kimberlin,820,807,125.9%,36,-92.47%,27.39%,36.1%,-25.54%,"71,08,055"
Pitchit.ai,Artificial Intelligence (AI),Energy,Oil and Gas,United States,"Chat With AI to Find the Best Internet, Phone, Security & Utility Rates",pitchit.ai/,paul@pitchit.ai,—,,Seed,"$3,42,500.00",Seed,"$28,77,500.00",Plug and Play,Alchemist Accelerator,Silicon Road Ventures,Thomson Nguyen,Gray Ventures,180,384.67,-22.75%,37,-84.84%,-18.15%,67.22%,35.01%,"1,48,92,617"
TextYess,Advertising,E-Commerce,Marketing Automation,Italy,TextYess enables eCommerce brands to sell on WhatsApp through conversational AI.,www.textyess.com/,riccardo@textyess.com,—,Riccardo Russo,Seed,"€24,00,000.00",Seed,"$34,52,360.00",Entourage,Exor Ventures,Angel Invest,Michele Attisani,Club degli Investitori,"6,602","12,842.33",-63%,741,22.89%,68.94%,41.88%,-29.41%,"24,10,998"
AnswersAI,Artificial Intelligence (AI),Education,,United States,"Study tools for stuends to answer questions, understand equations, and interact with lectures in new ways.",answersai.com/,mamoun@answersai.ai,8185168300,,Seed,"$15,00,000.00",Pre-Seed,"$15,00,000.00",Array Ventures,,,,,"79,988","76,947.67",18.54%,136,17.24%,-20.9%,68.54%,34.1%,"3,59,514"
Ludus,Performing Arts,Software,Ticketing,United States,"Ludus is a Software Development firm offering a performing arts software platform for ticketing, marketing and fundraising.",ludus.com,hello@ludus.com,+1 (888) 597-5838,Zachary Collins,—,"$1,20,00,000.00",Venture - Series Unknown,"$1,20,00,000.00",,,,,,"17,46,686","7,55,298.33",71.72%,403,-18.26%,-9.61%,49.49%,-3.4%,"30,065"
Hedgehog,Cloud Infrastructure,Computer,Open Source,United States,Hedgehog is an open Network Fabric for the Distributed Cloud.,githedgehog.com,hello@githedgehog.com,206-390-2349,Marc Austin,Seed,"$37,85,000.00",Pre-Seed,"$37,85,000.00",Engineering Capital,Ascend,Shipyard Cascade Capital,Anders Brown,Charles Fitzgerald,—,—,—,—,—,—,—,—,—
RMIQ,Advertising,Marketing,Retail Technology,United States,"Retail Media Intelligence (RMIQ) is a retail media start-up, helps brands extend their footprint across retail media networks (RMN).",www.rmiq.net,jc@rmiq.net,—,Mateusz Drela,Seed,"$2,00,000.00",Pre-Seed,"$2,05,000.00",Gustav Groth,,,,,"1,113","2,118.83",-60.84%,383,56.97%,28.79%,37.74%,-23%,"62,06,093"
Confident Security,Artificial Intelligence (AI),Security,,United States,Cofident Security offers an end-to-end encryption tool that wraps around foundational models for security,confident.security/,—,—,,Seed,"$42,00,000.00",Seed,"$42,00,000.00",South Park Commons,Ex/Ante,Decibel Partners,Shawn Wang,,86,793.67,-86.37%,17,-10.53%,-18.07%,70.93%,0.81%,"2,01,02,389"
Open Access Energy,Power Grid,Renewable Energy,Software,South Africa,Open Access Energy provides energy management software.,openaccess.energy/,—,—,Gerjo Hoffman,Seed,"$18,00,000.00",Seed,"$33,00,000.00",E3 Capital,Equator,Factor E,,,299,"4,197.5",-96.23%,6,-99.48%,-86.98%,0%,18.02%,"1,16,19,586"
warmwind,Artificial Intelligence (AI),Cloud Computing,,Germany,warmwind operates as an AI operating system for visual process automation.,warmwind.space/,—,—,,Seed,"€15,00,000.00",Seed,"€15,00,000.00",BRT Ventures,bm-t beteiligungsmanagement thuringen,,,,"14,863","1,29,443.5",-39.84%,281,49.47%,15.98%,63.37%,-9.65%,"13,03,271"
Feldera,Analytics,Big Data,Cloud Computing,United States,The award-winning platform for incremental computation.,www.feldera.com/,—,—,Gerd Zellweger,Seed,"$60,00,000.00",Seed,"$60,00,000.00",,,,,,"1,174","1,588.5",-59.73%,50,-70.59%,-17.39%,74.96%,1.3%,"60,61,703"
Plexe AI,Artificial Intelligence (AI),Machine Learning,Natural Language Processing,United Kingdom,Platform for creating ML models simply by describing problems in natural language,www.plexe.ai/,founders@plexe.ai,—,Vaibhav Dubey,Seed,"$21,00,000.00",Seed,"$21,00,000.00",Y Combinator,Oxonian Ventures,Network.VC,Lorenz Bogaert,,"9,948","3,798.17",238.14%,471,129.76%,-9.55%,65.45%,51.96%,"17,81,854"
Holly,Artificial Intelligence (AI),GovTech,Human Resources,United States,Holly operates as an AI company that modernizing government hiring.,www.hollygov.com/,—,(617) 286-2257,,Seed,"$22,00,000.00",Pre-Seed,"$22,00,000.00",Gaingels,J2 Ventures,Roble Ventures,,,215,569,-83.97%,0,"30,300%",-65.54%,100%,60.21%,"1,36,81,579"
Niftmint,Blockchain,Cryptocurrency,E-Commerce,United States,NFT Commerce Infrastructure for Brands on their existing platforms,niftmint.com,info@niftmint.com,—,,Seed,"$1,00,000.00",Pre-Seed,"$1,00,000.00",Andreessen Horowitz,Google for Startups,,,,—,—,—,—,—,—,—,—,—
MySyde,Digital Marketing,FinTech,Software,United States,"Bringing ""Word-of-Mouth"" to Digital",www.mysyde.com,support@mysyde.com,408-422-6137,John Rinaldo,Seed,"$1,50,000.00",Angel,"$5,00,000.00",,,,,,—,—,—,—,—,—,—,—,—
VyTek,Artificial Intelligence (AI),Digital Media,Infrastructure,United States,VyTek Civilization Stack is a nation-building technology company redefining the foundation of modern civilization.,www.vytek-it.com/,george.groves@vytek-it.com,—,,Seed,"$20,00,000.00",Seed,"$20,00,000.00",FasterCapital,Hesham Zreik,,,,—,—,—,—,—,—,—,—,—
KovaDx,Artificial Intelligence (AI),Health Care,Machine Learning,United States,"KovaDx is bridging the health disparity faced by people with sickle cell disease, as well as, other hemolytic anemias.",www.kovadx.com,yaw@kovadx.com,—,Timothy Adamson,Seed,"$2,56,000.00",Grant,"$1,00,000.00",National Science Foundation,Expert Dojo,CITRIS Foundry,,,—,—,—,—,—,—,—,—,—
iYOTAH Solutions,Livestock,SaaS,Software,United States,iYOTAH Solutions is a transformational SaaS technology company that connects data to help the animal protein industry thrive.,www.iyotah.com,info@iyotah.com,1 720-780-1788,,Early Stage Venture,"$28,00,000.00",Series A,"$28,00,000.00",Innova Memphis,,,,,617,—,—,0,—,—,100%,—,"81,04,816"
Zaun,Artificial Intelligence (AI),Cyber Security,Data Management,United States,AI for the Largest Security Operations,zaun.ai,hello@zaun.ai,—,,—,"$15,00,000.00",Venture - Series Unknown,"$15,00,000.00",Afore Capital,Spacecadet Ventures,10vc,,,232,—,-93.47%,0,—,-2.07%,100%,2.16%,"1,31,90,049"
ThinAir™,Advertising,Apps,Artificial Intelligence (AI),United States,Next-Gen Media Platform for Global Youth Culture,www.thinair.ai,susan@lionsharemedia.com,6094396500,Susan Brazer,Seed,"$32,40,000.00",Seed,"$32,40,000.00",Susan Brazer,Charles La,Robert Blake,,,—,—,—,—,—,—,—,—,—
Extrasense Technologies,AgTech,Internet of Things,Machine Learning,United States,We leverage A.I. to monitor and predict pest risks in food manufacturing.,www.extrasense.co/,osanchez@extrasense.co,508-736-7121,,Seed,"$1,00,000.00",Pre-Seed,"$4,80,000.00",Right Side Capital Management,gener8tor,L'ATTITUDE Ventures,Forum Ventures,Branch Venture Group,—,—,—,—,—,—,—,—,—
Atlas.co,Geospatial,Internet,Software,Norway,Your all-in-one map builder,atlas.co/,contact@atlas.co,—,Vegard J. Løwe,Early Stage Venture,"$30,00,000.00",Series A,"$50,00,000.00",Pale blue dot,Andreas Klinger,Ben Lang,,,"70,957","85,576",-34.14%,430,19.44%,-21.59%,73.55%,3.34%,"3,94,134"
Atri Labs,Developer Tools,Open Source,,United States,Atri Labs is an open-source web framework that helps Python developers create production web applications.,atrilabs.com,—,—,Shyam Swaroop,Seed,—,Seed,"$5,00,000.00",Y Combinator,Bharat Founders Fund,GitHub Accelerator,Nkechi Iregbulem,,132,—,17.86%,0,—,0%,100%,0%,"1,70,52,965"
Pathlit,Artificial Intelligence (AI),Developer Platform,Developer Tools,United States,"A no-code platform for building, testing, and deploying reliable AI workflows at scale. Streamline enterprise AI implementation effortlessly",pathlit.com/,advay@pathlit.ai,402-686-8610,Jacob Shalabi,Seed,"$10,12,000.00",Pre-Seed,"$10,12,000.00",Illinois Ventures,CEAS Investments,Illini Angels,Honors Fund,,194,457.17,-35.97%,0,188%,-9.78%,90.72%,15.01%,"1,43,88,990"
iAsk Ai,Artificial Intelligence (AI),Information Technology,Search Engine,United States,iAsk is an AI search engine that delivers the fastest and most accurate responses in seconds.,iask.ai/,contact@iask.ai,312-313-4283,Dominik Mazur,Seed,"$57,21,000.00",Seed,"$57,21,000.00",Alumni Ventures,Chingona Ventures,Listen,Starting Line,Corazon Capital,"14,55,201","19,16,454.67",-16.06%,687,-10.31%,17.02%,51.68%,-1.81%,"35,288"
HopeAI,Artificial Intelligence (AI),Health Care,Life Science,United States,AI-powered clinical evidence for drug development and precision medicine,hopeai.co,info@hopeai.co,—,,Seed,—,Pre-Seed,"$11,00,000.00",Plug and Play,Taihill Venture,PKSHA Capital,,,287,"1,135.17",-70.89%,55,358.33%,11.65%,46.34%,-40.11%,"1,18,72,885"
Benbase,Artificial Intelligence (AI),Employee Benefits,FinTech,United States,"Benbase is an AI-native, human‑first broker and platform for employee benefits that combines insurance pros with AI agents.",benbase.com/,team@benbase.com,—,Mike Wadhera,Seed,"$53,00,000.00",Seed,"$53,00,000.00",South Park Commons,Freestyle Capital,Upside VC,,,—,—,—,—,—,—,—,—,—
ToDooly,Communities,Home Services,Internet,United States,ToDooly is a social platform that allows users to hire local students to help with simple outdoor tasks.,www.todooly.com,contact@todoolie.com,+1 313-777-8052,Jose Romo-Puerta,Seed,"$1,00,000.00",Grant,"$19,30,008.00",Techstars,Precursor Ventures,L'ATTITUDE Ventures,Diverse Angels,Google for Startups,—,—,—,—,—,—,—,—,—
OlaXBT,Artificial Intelligence (AI),Cryptocurrency,Web3,,An AI-driven market intelligence agent designed to identify high-value trading signals.,nexus.olaxbt.xyz/,equiry@olaxbt.xyz,—,,Seed,"$33,80,000.00",Seed,"$33,80,000.00",Amber Group,DWF Labs,Mindfulness Capital,Credit Scend,Web3 Labs,"1,956","6,926.17",25.06%,162,-72.82%,32.82%,46.68%,-29.53%,"48,56,774"
Elm AI (Formerly Esger),Artificial Intelligence (AI),Data Integration,Supply Chain Management,United States,Elm AI's patent-pending software helps companies assess the environmental and social impact of their supply chains,elm-ai.com/,info@elm-ai.com,—,Aparajita Thakker,Seed,"$20,00,000.00",Seed,"$23,07,500.00",Beta Boom,Cornell University,Working Capital,Cornell Tech,(ERA) Entrepreneurs Roundtable Accelerator,435,"4,315.5",-94.02%,0,289.65%,-95.32%,100%,182.09%,"95,92,991"
GEVI,Artificial Intelligence (AI),Industrial Design,Micro Lending,Italy,GEVI designs and builds Vertical Axis Wind Turbines controlled by Artificial Intelligence.,www.geviwind.com,emanuele@thegevi.com,+39 3274658076,,Seed,"€27,00,000.00",Seed,"€27,00,000.00",CDP Venture Capital,360 Capital,Zero,NextSTEP One,,"12,622",—,-56.16%,129,-60.79%,25.03%,76.31%,-17.57%,"14,79,380"
Bubbles,Collaboration,Video Conferencing,Web Apps,United States,Bubbles is a collaboration tool that lets tag anything on screen and invite teammates to discuss in-context.,www.usebubbles.com,hello@usebubbles.com,925-428-3600,,Seed,"$85,00,000.00",Seed,"$85,00,000.00",Khosla Ventures,Craft Ventures,Bain Capital,468 Capital,Bain Capital Ventures,"1,47,076","1,61,472.17",-23.68%,461,-47.79%,-43.14%,42.58%,-10.86%,"2,25,127"
Cognosys,Agentic AI,Artificial Intelligence (AI),Intelligent Systems,Canada,"Cognosys provides AI-based products and services, including custom solutions, consulting, and implementation tailored to business needs.",www.cognosys.ai,support@cognosys.ai,—,Sully Omar Marouf,M&A,"$20,00,000.00",Seed,"$20,00,000.00",Google Ventures,Guillermo Rauch,Untapped Capital,Aidan Gomez,Spencer Kimball,"3,453","10,393",-34.37%,131,-57.19%,-6.97%,72%,6.59%,"36,58,552"
Optiwatt,Electric Vehicle,Mobile Apps,Real Time,United States,Track your EV spending! Monitor at-home EV charging costs and gas savings using your exact electricity rates.,getoptiwatt.com/,Support@getoptiwatt.com,253-260-4971,Peter Franklin,Early Stage Venture,"$70,00,000.00",Series A,"$1,13,00,000.00",Navitas Capital,Active Impact Investments,Google Ventures,Urban Innovation Fund,Thin Line Capital,—,—,—,—,—,—,—,—,—
Quickly,Apps,Financial Services,Payments,Canada,Quickly is an online platform that receives early payment and invoicing tools for any business.,helloquickly.com,—,—,,Seed,"$1,00,00,000.00",Seed,"$1,00,00,000.00",Plug and Play,Alberta Innovates,Thin Air Labs,ATB Financial,,800,"18,147.17",-96.75%,320,12.68%,243.04%,48.88%,-50.69%,"71,89,163"
eino,Big Data,Enterprise Software,Information Technology,United States,Predicting future for optimal planning and distribution of our resources,www.eino.ai/,—,—,,—,"$49,53,999.00",Venture - Series Unknown,"$51,03,999.00",500 Global,Techstars,National Science Foundation,Cornell Tech,Comcast NBCUniversal LIFT Labs,"4,233","2,475.67",308.99%,534,-38.97%,21.36%,8.55%,-77.71%,"32,31,311"
PeerDB,Big Data,Data Integration,Database,United States,PeerDB is a firm that specializes in cost-effective Postgres replication and change data capturing.,peerdb.io/,contact@peerdb.io,—,Sai Krishna Srirampur,M&A,"$36,00,000.00",Seed,"$41,00,000.00",Y Combinator,8VC,Flex Capital,Pioneer Fund,Webb Investment Network,"10,894","3,931.83",628.7%,292,-48.04%,45.59%,34.98%,-57.17%,"16,60,699"
CyDeploy,Network Security,Software,,United States,"CyDeploy is a smart, automated testing system that shows you how an update will affect your system.",cydeploy.com,—,—,,Seed,—,Non-equity Assistance,"$1,50,000.00",Techstars,TEDCO,Black Founders Fund,CyberTech|X Accelerator,AWS Impact Accelerator,—,—,—,—,—,—,—,—,—
Advocate,Artificial Intelligence (AI),B2C,Information Technology,United States,Advocate provides a technology-enabled platform that assists Americans in applying for federal disability benefits.,ouradvocates.com/,—,+1 888-383-7091,,Seed,"$40,00,000.00",Seed,"$40,00,000.00",Khosla Ventures,Lerer Hippeau,,,,"15,636","6,734",401.48%,"2,071","13,706.67%","2,125.31%",1.65%,-97.82%,"12,53,278"
Naftiko,Artificial Intelligence (AI),Information Technology,Internet,France,"Naftiko serves a broad spectrum of enterprise users—from heads of API & integration to platform engineers, architects, and developers.",naftiko.io,—,+1 484-703-9923,Kin Lane,Seed,"$16,00,000.00",Seed,"$16,00,000.00",Serena,Paul Melchiorre,Pawan Deshpande,Vincent Mace,,—,—,—,—,—,—,—,—,—
Firefly Energy Solutions,Consulting,Energy,Energy Management,United States,Firefly is a SaaS analytical platform using AI and Machine Learning to deliver risk avoidance tools.,firefly-es.com/,inquiries@firefly-es.com,203 921 6370,,Seed,"$35,00,000.00",Seed,"$35,00,000.00",,,,,,—,—,—,—,—,—,—,—,—
Rodeo,Information Technology,Operating Systems,,United Kingdom,Rodeo is a free app for delivery drivers to help you see all your earnings in one place.,www.gorodeo.app/,—,—,,Seed,"£40,00,000.00",Seed,"£40,00,000.00",LocalGlobe,Seedcamp,Form Ventures,,,"37,131","11,156.33",46.82%,260,602.7%,-2.04%,78.31%,127.12%,"6,45,250"
Worldover,Marketing,Software,,United Kingdom,Worldover is software that enables the frictionless launch of physical products in all worldwide markets.,www.worldover.io,—,—,,Seed,"£30,00,000.00",Seed,"£30,00,000.00",Index Ventures,Plug and Play,Entrepreneurs First,Chalfen Ventures,Mandeep Singh,"1,874","1,365.83",8.83%,"1,831",108.78%,187.66%,36.87%,-49.29%,"49,47,413"
Cityrow Go,Fitness,Mobile Apps,Video,United States,Cityrow Go is a rowing-based fitness app for smartphones or tablets.,go.cityrow.com/,info@cityrow.com,(646) 484-5508,,M&A,"$1,20,00,000.00",Series A,"$1,25,10,000.00",Everywhere Ventures,Betaworks,Sol Global investments,Jonathan Keidan,JW Asset Management,—,—,—,—,—,—,—,—,—
Taproot Wizards,Bitcoin,Blockchain,Cryptocurrency,United States,Taproot Wizards is a Bitcoin Ordinals project dedicated to expanding Bitcoin's potential.,taprootwizards.com/,—,—,FAR ,Early Stage Venture,"$3,00,00,000.00",Series A,"$3,75,00,000.00",StarkWare Industries,Standard Crypto,Collider,Bitcoin Frontier Fund,Newman Capital,"1,773","2,104.67",39.83%,156,-62.23%,61.13%,36.77%,-56.83%,"50,66,295"
Infield,Information Technology,Internet,Software,United States,Infield makes it easy for development teams to keep their dependencies up to date.,www.infield.ai,support@infield.ai,—,Andrew Lenehan,Seed,"$30,00,000.00",Seed,"$59,35,998.00",Y Combinator,Bossa Invest,Foundation Capital,FirsthandVC,Jonathan Siddharth,152,202.33,23.58%,756,"1,300%",-55.92%,23.68%,-66.4%,"1,60,60,163"
TopK,Information Technology,Software,,United States,"TopK is a serverless, cloud-native, document database built for powering search applications.",www.topk.io/,contact@topk.io,628-250-2155,Marek Dlugos,Seed,"$55,00,000.00",Seed,"$55,00,000.00",Earlybird Venture Capital,KAYA,Irregular Expressions,,,383,709.67,-41.53%,89,-76.7%,-15.07%,74.93%,90.23%,"1,02,20,460"
Famished,Artificial Intelligence (AI),Food Delivery,Information Technology,United States,Discover food you love.,www.famished.io,hello@famished.io,3108661346,,Seed,"$4,00,000.00",Pre-Seed,"$4,00,000.00",,,,,,712,353,483.61%,0,-97.45%,-50%,100%,0%,"75,77,337"
ScienceMachine,Artificial Intelligence (AI),Biotechnology,Medical,United States,"ScienceMachine is an AI startup accelerating biotech data analysis with a fully autonomous agent,",www.sciencemachine.ai/,info@sciencemachine.ai,—,,Seed,"$35,00,000.00",Pre-Seed,"$35,00,000.00",Revent,Nucleus Capital,Opal Ventures,Juniper,,334,"1,204.67",-70.68%,3,-99.52%,-21.13%,82.63%,0.34%,"1,09,51,256"
Aranya,Cloud Computing,Cloud Management,Software,United States,Kubernetes Concierge and cluster spot markets. Builds custom Kubernetes clusters tailored to your requirements,aranya.tech/,—,—,Zachary Kastenhuber,Seed,"$20,00,000.00",Pre-Seed,"$20,00,000.00",Founder Collective,Asylum Ventures,,,,61,—,—,162,—,—,0%,—,"2,26,98,083"
Octomind,Artificial Intelligence (AI),Software,Web Apps,Germany,"Octomind is a developer tool using AI to make automated end-to-end testing stable, fast, and affordable.",www.octomind.dev,contact@octomind.dev,—,Marc Mengler,Seed,"€45,00,000.00",Seed,"€45,00,000.00",Cherry Ventures,Charlie Songhurst,Lutz Finger,Sean Mullaney,,"9,114","8,510.17",-12.45%,512,-56.5%,-80.06%,81.97%,2.13%,"19,06,042"
Ontik,Credit,Information Technology,Mobile Payments,United Kingdom,Ontik provides a modern payment platform that helps merchants achieve a greater number of trade customers.,www.ontik.io,—,—,,Seed,"$37,00,000.00",Seed,"$37,00,000.00",Plug and Play,Portfolio Ventures,FJ Labs,PT1,Firstminute Capital,"3,731","6,219.33",-27.97%,50,-3.85%,-24.45%,30.07%,281.6%,"34,96,018"
WilsonAI,Artificial Intelligence (AI),Legal Tech,Software,United States,WilsonAI uses intelligent automation to assist internal legal teams in transforming their processes.,www.getwilson.ai/,—,—,Gus Neate,Seed,"$17,00,000.00",Pre-Seed,"$17,00,000.00",Entrepreneurs First,Transpose Platform Management,Nomad Ventures,Mei Z.,Autopilot Ventures,"2,862","7,185.5",-80.37%,227,-64.53%,-15.29%,51.64%,-20.44%,"40,53,292"
Kepler,Information Technology,Software,,United States,Working to make science more open,www.kepler.co,—,—,,Seed,"$75,59,999.00",Seed,"$96,34,999.00",,,,,,—,—,—,—,—,—,—,—,—
Sequoia Health,Education,Health Care,Men's,United States,A mobile app that allows men to anonymously track and improve sexual health,sequoia.health/,denis@sequoia.health,375298285750,Olga Neudakh,Seed,"$70,000.00",Pre-Seed,"$70,000.00",Aliaksei Saskevich,,,,,"3,227","6,082.5",-19.08%,86,-10.42%,-7.17%,88.72%,4.09%,"38,00,686"
Lua,Artificial Intelligence (AI),B2B,Customer Service,United Kingdom,"Lua provides AI-powered virtual agents for sales, support, and bookings across channels like WhatsApp, Messenger, and email.",heylua.ai,support@heylua.ai,—,Stefan Kruger,Seed,"$5,00,000.00",Pre-Seed,"$5,00,000.00",Y Combinator,,,,,"6,430","4,515.5",165.92%,206,37.33%,15.23%,67.96%,-13.28%,"24,54,871"
Lumona,Consumer,Information Technology,Software,United States,Lumona is a product search engine that provides high-quality suggestions from creators you trust.,www.lumona.ai,—,—,Philena Liu,Seed,"$5,00,000.00",Pre-Seed,"$5,00,000.00",Y Combinator,,,,,"1,084","1,491.33",-5.16%,35,-93.27%,-13.54%,61.35%,-4.2%,"62,78,493"
General Autonomy,Manufacturing,Robotics,,India,General Autonomy is a robotics firm on the cutting edge of manufacturing and automation for the future.,ga.tech,—,—,,Seed,"$30,00,000.00",Seed,"$30,00,000.00",Elevation Capital,India Quotient,Ramakant Sharma,Srinath Ramakkrushnan,Ankush Sachdeva,89,—,-59.73%,0,—,0%,100%,0%,"1,98,83,331"
Tetrix,Artificial Intelligence (AI),Information Technology,,United States,Tetrix offers an enterprise solution that utilizes cutting-edge AI technology to convert chaotic and complex alternative investment data.,www.tetrix.co/,—,—,,Seed,"$50,00,000.00",Seed,"$50,00,000.00",Innovation Endeavors,,,,,"17,782","18,693.17",73.7%,"1,602",68.63%,43.57%,21.23%,-20.16%,"11,35,200"
Legion AI,Database,Data Management,Data Mining,United States,Legion AI is a platform that provide services to enable customers to use AI for data analytics.,www.thelegionai.com/,contact@thelegionai.com,—,,Seed,"$2,25,000.00",Seed,"$2,25,000.00",,,,,,349,716.67,-48.3%,123,623.53%,39.88%,20.34%,-25.39%,"1,07,12,256"
Allia,Artificial Intelligence (AI),Data Center,Mental Health,United Kingdom,Alliauk is a patient management platform that uses AI for mental health insights.,allia.health,—,+44 75573 64484,Andrew Schwehm,Seed,"$20,00,000.00",Seed,"$20,00,000.00",Draper Associates,Boost VC,Oxford Seed Fund,Arben Ventures,,"10,579","12,246",-38.71%,503,6.57%,19.54%,73.3%,-13.97%,"16,99,050"
Smartcoin,Financial Services,Mobile Apps,Personal Finance,India,Smartcoin is providing financial access to the millions of mobile users in India using alternative credit assessment.,smartcoin.co.in,contact@smartcoin.co.in,—,Jayant Upadhyay,Early Stage Venture,—,Debt Financing,"$69,71,327.00",Lightrock,Unicorn India Ventures,BlackSoil,Accion Ventures,Northern Arc,"1,16,081","1,00,914.67",-4.44%,153,-31.39%,5.51%,96.34%,-2.57%,"2,70,381"
Studio,Consumer Software,,,United States,Studio builds software for young creatives.,s-tud.io,matt@s-tud.io,—,Chris Chao,Seed,"$33,00,000.00",Seed,"$33,00,000.00",Google Ventures,Mercury,Pareto Holdings,Scott Belsky,Charlie Cheever,—,—,—,—,—,—,—,—,—
Wagr,Apps,Internet,Sports,United States,Wagr is a sports-betting app looking to wed social media with a fast-growing corner of the gambling market.,www.wagr.us,—,—,Mario Malavé,M&A,"$1,20,00,000.00",Series A,"$1,60,00,000.00",Pear VC,Karman Ventures,Greycroft,Seven Seven Six,Harris Blitzer Sports & Entertainment,—,—,—,—,—,—,—,—,—
Pickleheads,Casual Games,Mobile Apps,Sports,United States,Pickleheads is a pickleball-playing court location-finding software.,www.pickleheads.com,hello@pickleheads.com,—,Max Ade,Seed,"$25,00,000.00",Seed,"$32,50,000.00",Service Provider Capital,Overline,Boardroom,Ardent Venture Partners,Network Ventures,"4,35,786","4,62,093.83",10.73%,509,58.57%,-25.37%,70.58%,23.48%,"95,468"
OmniAI,Artificial Intelligence (AI),Big Data,Information Technology,United States,OmniAI is a software development platform that allows users to transform unstructured data to accurate insights.,getomni.ai,founders@getomni.ai,—,Tyler Maran,Seed,"$32,00,000.00",Seed,"$37,00,000.00",Y Combinator,FundersClub,Transpose Platform Management,Kulveer Taggar,Imagination Capital,"5,737","14,692.33",-70.53%,529,-53.56%,53.1%,65.59%,193.34%,"26,48,585"
SAVVI AI,Artificial Intelligence (AI),Information Technology,Machine Learning,United States,"SAVVI AI is an Agile AI platform enabling all product teams to build, launch and manage AI apps in minutes and achieve ROI in days.",savviai.com/,—,—,Maya Mikhailov,—,"$54,68,184.00",Venture - Series Unknown,"$54,68,184.00",Pear VC,Google for Startups Latino Founders Fund,,,,579,807.5,-12.41%,66,-73.49%,31.47%,78.76%,50.02%,"83,51,267"
Vocode,Artificial Intelligence (AI),Developer Tools,Information Technology,United States,Vocode is an open-source library for building voice-based LLM applications.,docs.vocode.dev/,kian@vocode.dev,—,Kian Hooshmand,Seed,"$32,50,000.00",Seed,"$37,50,000.00",Accel,Y Combinator,Base10 Partners,Liquid 2 Ventures,Google Ventures,—,—,—,—,—,—,—,—,—
